ticker,name,yf_ticker
AAPL,Apple Inc.,AAPL
MSFT,Microsoft Corp,MSFT
NVDA,NVIDIA Corp,NVDA
AMZN,Amazon.com Inc,AMZN
GOOGL,Alphabet Inc Class A,GOOGL
META,Meta Platforms Inc,META
BRK.B,Berkshire Hathaway Class B,BRK-B
AVGO,Broadcom Inc,AVGO
TSLA,Tesla Inc,TSLA
JPM,JPMorgan Chase & Co,JPM
LLY,Eli Lilly and Co,LLY
V,Visa Inc,V
XOM,Exxon Mobil Corp,XOM
UNH,UnitedHealth Group Inc,UNH
MA,Mastercard Inc,MA
COST,Costco Wholesale Corp,COST
HD,Home Depot Inc,HD
PG,Procter & Gamble Co,PG
NFLX,Netflix Inc,NFLX
JNJ,Johnson & Johnson,JNJ
BAC,Bank of America Corp,BAC
ABBV,AbbVie Inc,ABBV
CRM,Salesforce Inc,CRM
ORCL,Oracle Corp,ORCL
WMT,Walmart Inc,WMT
KO,Coca-Cola Co,KO
CVX,Chevron Corp,CVX
AMD,Advanced Micro Devices Inc,AMD
PEP,PepsiCo Inc,PEP
ADBE,Adobe Inc,ADBE
TMO,Thermo Fisher Scientific Inc,TMO
MCD,McDonald's Corp,MCD
CSCO,Cisco Systems Inc,CSCO
ABT,Abbott Laboratories,ABT
DIS,Walt Disney Co,DIS
LIN,Linde PLC,LIN
WFC,Wells Fargo & Co,WFC
INTU,Intuit Inc,INTU
VZ,Verizon Communications Inc,VZ
TXN,Texas Instruments Inc,TXN
PM,Philip Morris International Inc,PM
IBM,International Business Machines Corp,IBM
NOW,ServiceNow Inc,NOW
AMGN,Amgen Inc,AMGN
QCOM,Qualcomm Inc,QCOM
CAT,Caterpillar Inc,CAT
GE,GE Aerospace,GE
SPGI,S&P Global Inc,SPGI
UBER,Uber Technologies Inc,UBER
ISRG,Intuitive Surgical Inc,ISRG
