ticker,name,yf_ticker
NOVN,Novartis AG,NOVN.SW
NESN,Nestle SA,NESN.SW
ROG,Roche Holding AG,ROG.SW
ASML,ASML Holding NV,ASML.AS
MC,LVMH Moet Hennessy Louis Vuitton,MC.PA
SAP,SAP SE,SAP.DE
OR,L'Oreal SA,OR.PA
TTE,TotalEnergies SE,TTE.PA
SIE,Siemens AG,SIE.DE
AZN,AstraZeneca PLC,AZN.L
SHEL,Shell PLC,SHEL.L
NOVOB,Novo Nordisk A/S,NOVO-B.CO
HSBA,HSBC Holdings PLC,HSBA.L
ALV,Allianz SE,ALV.DE
DTE,Deutsche Telekom AG,DTE.DE
BAYN,Bayer AG,BAYN.DE
SAN,Banco Santander SA,SAN.MC
IBE,Iberdrola SA,IBE.MC
BNP,BNP Paribas SA,BNP.PA
AIR,Airbus SE,AIR.PA
SU,Schneider Electric SE,SU.PA
EL,EssilorLuxottica SA,EL.PA
CS,AXA SA,CS.PA
DG,Vinci SA,DG.PA
BN,Danone SA,BN.PA
RI,Pernod Ricard SA,RI.PA
ENEL,Enel SpA,ENEL.MI
ENI,Eni SpA,ENI.MI
ISP,Intesa Sanpaolo SpA,ISP.MI
UCG,UniCredit SpA,UCG.MI
RACE,Ferrari NV,RACE.MI
STLA,Stellantis NV,STLAM.MI
ABI,Anheuser-Busch InBev SA,ABI.BR
ADYEN,Adyen NV,ADYEN.AS
PHIA,Koninklijke Philips NV,PHIA.AS
INGA,ING Groep NV,INGA.AS
BATS,British American Tobacco PLC,BATS.L
GSK,GSK PLC,GSK.L
DGE,Diageo PLC,DGE.L
RIO,Rio Tinto PLC,RIO.L
BP,BP PLC,BP.L
ULVR,Unilever PLC,ULVR.L
VOD,Vodafone Group PLC,VOD.L
BARC,Barclays PLC,BARC.L
LLOY,Lloyds Banking Group PLC,LLOY.L
NG,National Grid PLC,NG.L
REL,RELX PLC,REL.L
GLEN,Glencore PLC,GLEN.L
AAL,Anglo American PLC,AAL.L
